Lecture_id, 2SWS_LU, 2SWS_PU, Participants, Participants_P, Lecturer, ModuleName
KI210, 2, 2, 50, 20, , Data Science II
KI220, 4, 2, 50, 20, , Mathematik II
KI230, 4, 2, 50, 20, , Programmieren II
KI240, 2, 2, 50, 20, , Praxisgrundlagen der Informatik
KI250, 3, 1, 50, 20, , Statistik
KI410, 2, 2, 50, 20, , Algorithmen und Datenstrukturen
KI420, 2, 2, 50, 20, , Software Engineering I
KI430, 4, 2, 50, 20, , Natural Language Processing
KI440, 4, 2, 50, 20, , Machine Learning II
KI450, 2, 2, 50, 20, , Künstliche Intelligenz II
KI610, 2, 2, 50, 20, , Big Data Algorithms
KI620, 2, 2, 50, 20, , Machine Learning III
