module_id,semester,sws,max_participants,lecturer_id,module_name
KI210,2KI,2,49,1,Data Science II
KI211,2KI,2,20,1,Data Science II Praktikum (A)
KI212,2KI,2,20,1,Data Science II Praktikum (B)
KI213,2KI,2,20,1,Data Science II Praktikum (C)
KI220,2KI,4,38,5,Mathematik II
KI221,2KI,2,20,5,Mathematik II Praktikum (A)
KI222,2KI,2,20,5,Mathematik II Praktikum (B)
KI230,2KI,4,46,4,Programmieren II
KI231,2KI,2,20,4,Programmieren II Praktikum (A)
KI232,2KI,2,20,4,Programmieren II Praktikum (B)
KI233,2KI,2,20,4,Programmieren II Praktikum (C)
KI240,2KI,2,32,4,Praxisgrundlagen der Informatik
KI250,2KI,3,34,3,Statistik
KI251,2KI,1,20,3,Statistik Praktikum (A)
KI252,2KI,1,20,3,Statistik Praktikum (B)
